address,cost,cuisine,lat,link,lng,phone,rating_number,rating_text,subzone,title,type,votes,groupon,color,cost_2,cuisine_color
" 371A Pitt Street, CBD, Sydney",50.0,"['Hot Pot', 'Korean BBQ', 'BBQ', 'Korean']",-33.8760586,https://www.zomato.com/sydney/sydney-madang-cbd,151.2076047,02 8318 0406,4.0,Very Good,CBD,Sydney Madang,['Casual Dining'],1311.0,False,#e15307,5.243902439,#6f706b
" Shop 7A, 2 Huntley Street, Alexandria, Sydney",80.0,"['Cafe', 'Coffee and Tea', 'Salad', 'Poké']",-33.910999,https://www.zomato.com/sydney/the-grounds-of-alexandria-cafe-alexandria,151.1937928,02 9699 2225,4.6,Excellent,"The Grounds of Alexandria, Alexandria",The Grounds of Alexandria Cafe,['Café'],3236.0,False,#9c3203,7.56097561,#6f706b
" Level G, The Darling at the Star, 80 Pyrmont Street, 	Pyrmont",120.0,['Japanese'],-33.8679708,https://www.zomato.com/sydney/sokyo-pyrmont,151.1952102,1800 700 700,4.9,Excellent,"The Star, Pyrmont",Sokyo,['Fine Dining'],1227.0,False,#7f2704,10.6504065,#6f706b
" Sydney Opera House, Bennelong Point, Circular Quay, Sydney",270.0,['Modern Australian'],-33.8567844,https://www.zomato.com/sydney/bennelong-restaurant-circular-quay,151.2152967,02 9240 8000,4.9,Excellent,Circular Quay,Bennelong Restaurant,"['Fine Dining', 'Bar']",278.0,False,#7f2704,22.23577236,#4186f4
" 20 Campbell Street, Chinatown, Sydney",55.0,"['Thai', 'Salad']",-33.879035,https://www.zomato.com/sydney/chat-thai-chinatown,151.2064086,02 8317 4811,4.5,Excellent,Chinatown,Chat Thai,['Casual Dining'],2150.0,False,#a83703,5.630081301,#6f706b
" 46 Kensington Street, Chippendale, Sydney",150.0,"['Desserts', 'Modern Australian']",-33.8854746,https://www.zomato.com/sydney/koi-dessert-bar-chippendale,151.2019526,02 9212 1230,4.8,Excellent,"Kensington Street, Chippendale",KOI Dessert Bar,"['Casual Dining', 'Dessert Parlour']",575.0,False,#892b04,12.96747967,#4186f4
" 3 Bridge Lane, CBD, Sydney",120.0,"['Cantonese', 'Chinese', 'Yum Cha']",-33.8640708,https://www.zomato.com/sydney/mr-wong-cbd,151.2080162,02 9114 7317,4.5,Excellent,"Establishment, CBD",Mr. Wong,['Casual Dining'],1623.0,False,#a83703,10.6504065,#f45042
" 490 Crown Street, 	Surry Hills",100.0,['Japanese'],-33.8867358,https://www.zomato.com/sydney/toko-surry-hills,151.2140235,02 9357 6100,4.4,Very Good,Surry Hills,Toko,['Casual Dining'],1965.0,False,#b53b02,9.105691057,#6f706b
" The Rocks Centre, 12 Argyle Street, The Rocks, Sydney",125.0,"['Japanese', 'Sushi']",-33.858937,https://www.zomato.com/sydney/saké-restaurant-bar-the-rocks,151.208318,02 9259 5656,4.3,Very Good,"The Rocks Centre, The Rocks ",Saké Restaurant & Bar,"['Fine Dining', 'Wine Bar']",1381.0,False,#c14002,11.03658537,#6f706b
" Shop 5021, Level 5, Westfield Pitt Street Mall, 188 Pitt Street, CBD, Sydney",70.0,"['Japanese', 'Ramen']",-33.8704476,https://www.zomato.com/sydney/ippudo-cbd,151.2092878,02 8078 7020,4.5,Excellent,"Westfield Pitt Street Mall, CBD",Ippudo,['Casual Dining'],1840.0,False,#a83703,6.788617886,#6f706b
" Upper Level, Overseas Passenger Terminal 5 Hickson Road, The Rocks, Sydney",500.0,['Modern Australian'],-33.8581392,https://www.zomato.com/sydney/quay-the-rocks,151.2098175,02 9251 5600,4.6,Excellent,The Rocks,Quay,['Fine Dining'],1662.0,False,#9c3203,40.0,#4186f4
" Shop 1-2, 299 Sussex Street, CBD, Sydney",60.0,"['Thai', 'Salad']",-33.8746082,https://www.zomato.com/sydney/home-thai-cbd,151.2040895,02 9261 5058,4.4,Very Good,CBD,Home Thai,['Casual Dining'],1476.0,False,#b53b02,6.016260163,#6f706b
" 15 Goulburn Street, 	Chinatown",70.0,['Malaysian'],-33.8777061,https://www.zomato.com/sydney/mamak-chinatown,151.2041863,(02) 9211 1668,4.4,Very Good,Chinatown,Mamak,['Casual Dining'],3203.0,False,#b53b02,6.788617886,#6f706b
" Level 1, Shop 11.04, World Square Shopping Centre, 644 George Street, CBD, Sydney",70.0,"['Chinese', 'Taiwanese', 'Yum Cha']",-33.8771813,https://www.zomato.com/sydney/din-tai-fung-1-cbd,151.2068788,02 9264 6010,4.3,Very Good,"World Square Shopping Centre, CBD",Din Tai Fung,['Casual Dining'],2821.0,False,#c14002,6.788617886,#f45042
" Darling Park, 201 Sussex Street, Darling Harbour, Sydney",500.0,"['Seafood', 'Modern Australian']",-33.8719935,https://www.zomato.com/sydney/sepia-darling-harbour,151.2038093,02 9283 1990,4.8,Excellent,"Darling Park, Darling Harbour",Sepia,['Fine Dining'],873.0,False,#892b04,40.0,#4186f4
" 613A Elizabeth Street, Surry Hills, Sydney",55.0,['Cafe'],-33.8920342,https://www.zomato.com/sydney/three-williams-surry-hills,151.207232,(02) 9698 1111,4.3,Very Good,Surry Hills,Three Williams,['Café'],1447.0,False,#c14002,5.630081301,#6f706b
" 21 Alberta Street, CBD, Sydney",20.0,"['Cafe', 'Desserts']",-33.8779375,https://www.zomato.com/sydney/café-cre-asion-cbd,151.2105307,02 8021 1629,4.8,Excellent,CBD,Café Cre Asion,['Café'],752.0,False,#892b04,2.926829268,#6f706b
" Shop 11, Skyview Shopping Plaza, 537-551 George Street, CBD, Sydney",25.0,"['Japanese', 'Asian']",-33.8757332,https://www.zomato.com/sydney/mappen-noodle-restaurant-cbd,151.2060253,02 9283 5525,4.6,Excellent,"SkyView Shopping Plaza, CBD",Mappen Noodle Restaurant,['Casual Dining'],1285.0,False,#9c3203,3.31300813,#6f706b
" 21 Wentworth Street, Parramatta, Sydney",45.0,['Cafe'],-33.8187198,https://www.zomato.com/sydney/circa-parramatta,151.0050211,Not available for this place,4.6,Excellent,Parramatta,Circa,['Café'],1211.0,False,#9c3203,4.857723577,#6f706b
" 56 Pirrama Road, 	Pyrmont, Pyrmont, Sydney",190.0,"['Italian', 'Japanese']",-33.8671457,https://www.zomato.com/sydney/lumi-bar-dining-pyrmont,151.1956274,02 9571 1999,4.9,Excellent,Pyrmont,LuMi Bar & Dining,['Fine Dining'],305.0,False,#7f2704,16.05691057,#6f706b
